coords,alt,time
"(42.663561, -2.021098)",430.964,2017-04-30 09:08:07+00:00
"(42.664018, -2.021503)",429.878,2017-04-30 09:08:20+00:00
"(42.664991, -2.021997)",425.815,2017-04-30 09:08:35+00:00
"(42.665664, -2.021955)",424.661,2017-04-30 09:08:45+00:00
"(42.666315, -2.022193)",423.821,2017-04-30 09:08:54+00:00
"(42.667884, -2.023105)",421.513,2017-04-30 09:09:59+00:00
"(42.668394, -2.023264)",420.508,2017-04-30 09:10:19+00:00
"(42.668771, -2.023605)",420.937,2017-04-30 09:10:28+00:00
"(42.669287, -2.023762)",418.285,2017-04-30 09:10:37+00:00
"(42.66967, -2.024136)",419.622,2017-04-30 09:10:49+00:00
"(42.669852, -2.025166)",420.192,2017-04-30 09:11:32+00:00
"(42.669881, -2.027347)",419.859,2017-04-30 09:12:09+00:00
"(42.669479, -2.029236)",420.798,2017-04-30 09:12:48+00:00
"(42.668306, -2.030588)",423.122,2017-04-30 09:13:30+00:00
